"DATE","DOW","DEMAND","TUESDAY.BOOK","PICKUP.RATIO","DOW.INDEX"
2010-05-23,1,1470,1512,0.972222222,0.864772542
2010-05-24,2,870,864,1.006944444,0.910585242
2010-05-25,3,986,827,1.192261185,0.972883194
2010-05-26,4,1247,952,1.30987395,1.012524913
2010-05-27,5,1109,740,1.498648649,1.067881309
2010-05-28,6,1197,908,1.318281938,1.122726536
2010-05-29,7,1500,1311,1.14416476,1.048626266
2010-05-30,1,1854,2034,0.911504425,0.864772542
2010-05-31,2,1489,1584,0.940025253,0.910585242
2010-06-01,3,1792,1682,1.065398335,0.972883194
2010-06-02,4,1708,1684,1.014251781,1.012524913
2010-06-03,5,1787,1600,1.116875,1.067881309
2010-06-04,6,1314,1077,1.22005571,1.122726536
2010-06-05,7,1136,956,1.188284519,1.048626266
2010-06-06,1,1537,1455,1.056357388,0.864772542
2010-06-07,2,1132,1001,1.130869131,0.910585242
2010-06-08,3,1368,1131,1.209549072,0.972883194
2010-06-09,4,1488,1151,1.292788879,1.012524913
2010-06-10,5,1392,942,1.477707006,1.067881309
2010-06-11,6,1321,884,1.494343891,1.122726536
2010-06-12,7,1469,1315,1.117110266,1.048626266
2010-06-13,1,1795,1885,0.952254642,0.864772542
2010-06-14,2,1780,1963,0.906775344,0.910585242
2010-06-15,3,1841,2006,0.91774676,0.972883194
2010-06-16,4,1774,1855,0.956334232,1.012524913
2010-06-17,5,1835,1962,0.935270133,1.067881309
2010-06-18,6,1847,2019,0.914809312,1.122726536
2010-06-19,7,1833,2052,0.893274854,1.048626266
2010-06-20,1,1847,2018,0.915262636,0.864772542
2010-06-21,2,1680,1706,0.984759672,0.910585242
2010-06-22,3,1680,1874,0.896478122,0.972883194
2010-06-23,4,1798,1827,0.984126984,1.012524913
2010-06-24,5,1843,1734,1.062860438,1.067881309
2010-06-25,6,1322,1124,1.176156584,1.122726536
2010-06-26,7,1022,803,1.272727273,1.048626266
2010-06-27,1,1298,1356,0.957227139,0.864772542
2010-06-28,2,956,848,1.127358491,0.910585242
2010-06-29,3,1236,966,1.279503106,0.972883194
2010-06-30,4,1306,909,1.436743674,1.012524913
2010-07-01,5,1176,798,1.473684211,1.067881309
2010-07-02,6,1134,731,1.55129959,1.122726536
2010-07-03,7,1164,869,1.339470656,1.048626266
2010-07-04,1,1486,1372,1.083090379,0.864772542
2010-07-05,2,870,760,1.144736842,0.910585242
2010-07-06,3,1392,1144,1.216783217,0.972883194
2010-07-07,4,1747,1450,1.204827586,1.012524913
2010-07-08,5,1861,1739,1.070155262,1.067881309
2010-07-09,6,1797,1491,1.205231388,1.122726536
2010-07-10,7,1719,1477,1.163845633,1.048626266
2010-07-11,1,1729,1801,0.96002221,0.864772542
2010-07-12,2,1251,1096,1.141423358,0.910585242
2010-07-13,3,1682,1605,1.047975078,0.972883194
2010-07-14,4,1795,1788,1.003914989,1.012524913
2010-07-15,5,1814,1836,0.988017429,1.067881309
2010-07-16,6,1772,1626,1.089790898,1.122726536
2010-07-17,7,1885,1479,1.274509804,1.048626266
2010-07-18,1,1924,2105,0.914014252,0.864772542
2010-07-19,2,1591,1720,0.925,0.910585242
2010-07-20,3,1727,1554,1.111325611,0.972883194
2010-07-21,4,1772,1561,1.135169763,1.012524913
2010-07-22,5,1748,1563,1.118362124,1.067881309
2010-07-23,6,1748,1594,1.096612296,1.122726536
2010-07-24,7,1643,1708,0.961943794,1.048626266
2010-07-25,1,1765,2086,0.84611697,0.864772542
2010-07-26,2,1748,1816,0.962555066,0.910585242
2010-07-27,3,1795,1668,1.076139089,0.972883194
2010-07-28,4,1672,1461,1.144421629,1.012524913
2010-07-29,5,1345,1027,1.309639727,1.067881309
2010-07-30,6,1273,1042,1.22168906,1.122726536
2010-07-31,7,1600,1442,1.109570042,1.048626266
2010-08-01,1,1773,1941,0.913446677,0.864772542
2010-08-02,2,1292,1401,0.92219843,0.910585242
2010-08-03,3,1753,1807,0.970116215,0.972883194
2010-08-04,4,1805,1681,1.073765616,1.012524913
2010-08-05,5,1601,1413,1.133050248,1.067881309
2010-08-06,6,722,599,1.205342237,1.122726536
2010-08-07,7,889,831,1.069795427,1.048626266
2010-08-08,1,1058,1123,0.942119323,0.864772542
2010-08-09,2,887,952,0.931722689,0.910585242
2010-08-10,3,1676,1750,0.957714286,0.972883194
2010-08-11,4,1775,1777,0.998874508,1.012524913
2010-08-12,5,1759,1748,1.006292906,1.067881309
2010-08-13,6,1093,932,1.172746781,1.122726536
2010-08-14,7,1217,969,1.255933953,1.048626266
2010-08-15,1,1542,1562,0.987195903,0.864772542
2010-08-16,2,988,1004,0.984063745,0.910585242
2010-08-17,3,1510,1404,1.075498575,0.972883194
2010-08-18,4,NA,1657,NA,1.012524913
2010-08-19,5,NA,1643,NA,1.067881309
2010-08-20,6,NA,1124,NA,1.122726536
2010-08-21,7,NA,1074,NA,1.048626266
2010-08-22,1,NA,1839,NA,0.864772542
2010-08-23,2,NA,1862,NA,0.910585242
2010-08-24,3,NA,1886,NA,0.972883194
